House Number,Street Name,Street Type,Unit,City,State,Postal Code
1620,Azalea,Drive,A,Fort Collins,CO,80526
1620,Azalea,Drive,B,Fort Collins,CO,80526
1620,Azalea,Drive,C,Fort Collins,CO,80526
1620,Azalea,Drive,D,Fort Collins,CO,80526
1620,Azalea,Drive,E,Fort Collins,CO,80526
1620,Azalea,Drive,F,Fort Collins,CO,80526
1620,Azalea,Drive,G,Fort Collins,CO,80526
1620,Azalea,Drive,H,Fort Collins,CO,80526
1550,Blue Spruce,Drive,58,Fort Collins,CO,80526
1550,Blue Spruce,Drive,59,Fort Collins,CO,80526
1550,Blue Spruce,Drive,60,Fort Collins,CO,80526
1550,Blue Spruce,Drive,61,Fort Collins,CO,80526
1550,Blue Spruce,Drive,62,Fort Collins,CO,80526
1550,Blue Spruce,Drive,A1,Fort Collins,CO,80526
1550,Blue Spruce,Drive,A2,Fort Collins,CO,80526
1550,Blue Spruce,Drive,A3,Fort Collins,CO,80526
1550,Blue Spruce,Drive,A4,Fort Collins,CO,80526
1550,Blue Spruce,Drive,A5,Fort Collins,CO,80526
1550,Blue Spruce,Drive,A6,Fort Collins,CO,80526
1550,Blue Spruce,Drive,B10,Fort Collins,CO,80526
1550,Blue Spruce,Drive,B11,Fort Collins,CO,80526
1550,Blue Spruce,Drive,B12,Fort Collins,CO,80526
1550,Blue Spruce,Drive,B7,Fort Collins,CO,80526
1550,Blue Spruce,Drive,B8,Fort Collins,CO,80526
1550,Blue Spruce,Drive,B9,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C13,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C14,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C15,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C16,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C17,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C18,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C19,Fort Collins,CO,80526
1550,Blue Spruce,Drive,C20,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D21,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D22,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D23,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D24,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D25,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D26,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D27,Fort Collins,CO,80526
1550,Blue Spruce,Drive,D28,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E29,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E30,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E31,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E32,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E33,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E34,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E35,Fort Collins,CO,80526
1550,Blue Spruce,Drive,E36,Fort Collins,CO,80526
1550,Blue Spruce,Drive,F37,Fort Collins,CO,80526
1550,Blue Spruce,Drive,F38,Fort Collins,CO,80526
1550,Blue Spruce,Drive,F39,Fort Collins,CO,80526
1550,Blue Spruce,Drive,F40,Fort Collins,CO,80526
1550,Blue Spruce,Drive,F41,Fort Collins,CO,80526
1550,Blue Spruce,Drive,F42,Fort Collins,CO,80526
1550,Blue Spruce,Drive,G43,Fort Collins,CO,80526
1550,Blue Spruce,Drive,G44,Fort Collins,CO,80526
1550,Blue Spruce,Drive,G45,Fort Collins,CO,80526
1550,Blue Spruce,Drive,G46,Fort Collins,CO,80526
1550,Blue Spruce,Drive,G47,Fort Collins,CO,80526
1550,Blue Spruce,Drive,G48,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H49,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H50,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H51,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H52,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H53,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H54,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H55,Fort Collins,CO,80526
1550,Blue Spruce,Drive,H56,Fort Collins,CO,80526
1550,Blue Spruce,Drive,I57,Fort Collins,CO,80526
1550,Blue Spruce,Drive,J63,Fort Collins,CO,80526
1550,Blue Spruce,Drive,J64,Fort Collins,CO,80526
1550,Blue Spruce,Drive,J65,Fort Collins,CO,80526
1550,Blue Spruce,Drive,J66,Fort Collins,CO,80526
1550,Blue Spruce,Drive,J67,Fort Collins,CO,80526
1550,Blue Spruce,Drive,J68,Fort Collins,CO,80526
